customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,tipo_de_servicio,valor
0004-TLHLJ,Yes,Male,0,No,No,4,Month-to-month,Yes,Electronic check,73.9,280.85,phone_PhoneService,Yes
0011-IGKFF,Yes,Male,1,Yes,No,13,Month-to-month,Yes,Electronic check,98.0,1237.85,phone_PhoneService,Yes
0013-EXCHZ,Yes,Female,1,Yes,No,3,Month-to-month,Yes,Mailed check,83.9,267.4,phone_PhoneService,Yes
0022-TCJCI,Yes,Male,1,No,No,45,One year,No,Credit card (automatic),62.7,2791.5,phone_PhoneService,Yes
0023-HGHWL,Yes,Male,1,No,No,1,Month-to-month,Yes,Electronic check,25.1,25.1,phone_PhoneService,Yes
0023-XUOPT,Yes,Female,0,Yes,No,13,Month-to-month,No,Electronic check,94.1,1215.6,phone_PhoneService,Yes
0031-PVLZI,Yes,Female,0,Yes,Yes,4,Month-to-month,No,Mailed check,20.35,76.35,phone_PhoneService,Yes
0032-PGELS,Yes,Female,0,Yes,Yes,1,Month-to-month,No,Bank transfer (automatic),30.5,30.5,phone_PhoneService,Yes
0067-DKWBL,Yes,Male,1,No,No,2,Month-to-month,Yes,Electronic check,49.25,91.1,phone_PhoneService,Yes
0093-XWZFY,Yes,Male,0,No,No,40,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,phone_PhoneService,Yes
0094-OIFMO,Yes,Female,1,No,No,11,Month-to-month,Yes,Electronic check,95.0,1120.3,phone_PhoneService,Yes
0107-WESLM,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,19.85,19.85,phone_PhoneService,Yes
0107-YHINA,Yes,Male,0,No,Yes,1,Month-to-month,Yes,Electronic check,99.75,99.75,phone_PhoneService,Yes
0112-QWPNC,Yes,Male,0,Yes,No,49,One year,No,Electronic check,84.35,4059.35,phone_PhoneService,Yes
0115-TFERT,Yes,Male,0,Yes,No,21,Month-to-month,Yes,Electronic check,111.2,2317.1,phone_PhoneService,Yes
0117-LFRMW,Yes,Male,0,Yes,Yes,37,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,phone_PhoneService,Yes
0122-OAHPZ,Yes,Female,0,No,No,7,Month-to-month,Yes,Electronic check,73.85,511.25,phone_PhoneService,Yes
0125-LZQXK,Yes,Male,0,No,No,15,Month-to-month,Yes,Electronic check,101.35,1553.95,phone_PhoneService,Yes
0133-BMFZO,Yes,Female,0,No,No,2,Month-to-month,Yes,Electronic check,86.25,181.65,phone_PhoneService,Yes
0135-NMXAP,Yes,Female,0,No,No,12,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,phone_PhoneService,Yes
0137-OCGAB,Yes,Female,0,No,No,1,Month-to-month,Yes,Mailed check,80.2,80.2,phone_PhoneService,Yes
0137-UDEUO,Yes,Female,0,No,No,3,Month-to-month,No,Mailed check,19.85,63.75,phone_PhoneService,Yes
0148-DCDOS,Yes,Male,0,No,No,25,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,phone_PhoneService,Yes
0151-ONTOV,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,70.9,70.9,phone_PhoneService,Yes
0156-FVPTA,Yes,Male,0,Yes,No,22,Month-to-month,Yes,Electronic check,54.2,1152.7,phone_PhoneService,Yes
0193-ESZXP,Yes,Female,1,Yes,No,58,One year,Yes,Credit card (automatic),105.5,6205.5,phone_PhoneService,Yes
0195-IESCP,Yes,Male,0,Yes,No,10,Month-to-month,Yes,Electronic check,85.25,855.3,phone_PhoneService,Yes
0196-VULGZ,Yes,Female,1,Yes,No,6,Month-to-month,Yes,Electronic check,84.35,474.9,phone_PhoneService,Yes
0201-OAMXR,Yes,Female,0,No,No,70,One year,No,Credit card (automatic),115.55,8127.6,phone_PhoneService,Yes
0203-HHYIJ,Yes,Male,0,No,No,25,One year,No,Bank transfer (automatic),25.3,676.35,phone_PhoneService,Yes
0207-MDKNV,Yes,Female,0,No,No,15,Month-to-month,No,Electronic check,105.1,1582.75,phone_PhoneService,Yes
0219-YTZUE,Yes,Male,0,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,phone_PhoneService,Yes
0220-EBGCE,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,85.85,167.3,phone_PhoneService,Yes
0224-HJAPT,Yes,Male,0,No,No,5,Month-to-month,No,Electronic check,47.15,223.15,phone_PhoneService,Yes
